0.425,MyRandomForestClassifier,MyCountVectorizer,{'max_features': 'sqrt', 'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 10, 'min_samples_leaf': 2, 'bootstrap': True},{'min_df': 2, 'ngram_range': (1, 1)}
0.45875000000000005,MyRandomForestClassifier,MyCountVectorizer,{'max_features': 'sqrt', 'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 10, 'min_samples_leaf': 2, 'bootstrap': False},{'min_df': 1, 'ngram_range': (1, 1)}
0.43875000000000003,MyRandomForestClassifier,MyCountVectorizer,{'max_features': 'sqrt', 'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 10, 'min_samples_leaf': 2, 'bootstrap': True},{'min_df': 2, 'ngram_range': (1, 2)}
0.51375,MyRandomForestClassifier,MyCountVectorizer,{'max_features': 'sqrt', 'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 10, 'min_samples_leaf': 2, 'bootstrap': False},{'min_df': 2, 'ngram_range': (1, 1)}
0.4637500000000001,MyRandomForestClassifier,MyCountVectorizer,{'max_features': 'sqrt', 'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 10, 'min_samples_leaf': 2, 'bootstrap': True},{'min_df': 2, 'ngram_range': (1, 3)}
0.475,MyRandomForestClassifier,MyCountVectorizer,{'max_features': 'sqrt', 'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 10, 'min_samples_leaf': 2, 'bootstrap': False},{'min_df': 2, 'ngram_range': (1, 2)}
0.46624999999999994,MyRandomForestClassifier,MyCountVectorizer,{'max_features': 'sqrt', 'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 5, 'min_samples_leaf': 5, 'bootstrap': True},{'min_df': 1, 'ngram_range': (1, 3)}
0.51375,MyRandomForestClassifier,MyCountVectorizer,{'max_features': 'sqrt', 'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 10, 'min_samples_leaf': 2, 'bootstrap': False},{'min_df': 2, 'ngram_range': (1, 3)}
0.51375,MyRandomForestClassifier,MyCountVectorizer,{'max_features': 'sqrt', 'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 10, 'min_samples_leaf': 2, 'bootstrap': False},{'min_df': 5, 'ngram_range': (1, 1)}
0.44625000000000004,MyRandomForestClassifier,MyCountVectorizer,{'max_features': 'sqrt', 'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 10, 'min_samples_leaf': 2, 'bootstrap': True},{'min_df': 1, 'ngram_range': (1, 1)}
