initial_ratio,new_ratio,cv,score,time
0.1001129150390625,0.177978515625,1,0.6,1.184908151626587
0.1001129150390625,0.2373046875,1,0.565,1.2669694423675537
0.1001129150390625,0.31640625,1,0.555,1.4050686359405518
0.1001129150390625,0.421875,1,0.545,1.4169485569000244
0.1001129150390625,0.5625,1,0.535,1.4947004318237305
0.1001129150390625,0.75,1,0.535,1.4226162433624268
0.1001129150390625,1.0,1,0.535,1.57967209815979
0.1001129150390625,0.1001129150390625,2,0.58,0.9372382164001465
0.1001129150390625,0.13348388671875,2,0.52,1.022876262664795
0.1001129150390625,0.177978515625,2,0.5,1.0833890438079834
0.1001129150390625,0.2373046875,2,0.49,1.1176996231079102
