initial_size,new_size,colapse_rate,cv,score,time
50000,56000,0.1,0,0.83345,56.54057049751282
50000,57000,0.1,0,0.83335,60.903454065322876
50000,58000,0.1,0,0.83465,60.55252552032471
50000,59000,0.1,0,0.8343,58.48845934867859
50000,60000,0.1,0,0.8322,73.14000582695007
50000,61000,0.1,0,0.83355,66.10062170028687
50000,62000,0.1,0,0.8334,66.02885961532593
50000,63000,0.1,0,0.8326,66.988516330719
50000,64000,0.1,0,0.8318,68.29218649864197
50000,65000,0.1,0,0.83465,68.90699100494385
50000,66000,0.1,0,0.83435,91.2358090877533
50000,67000,0.1,0,0.8345,73.44213199615479
50000,68000,0.1,0,0.83355,74.64689302444458
50000,69000,0.1,0,0.8324,72.00677037239075
50000,70000,0.1,0,0.8338,71.91318988800049
50000,71000,0.1,0,0.83525,71.45923686027527
50000,72000,0.1,0,0.83355,73.51725792884827
50000,73000,0.1,0,0.83005,72.75366234779358
50000,74000,0.1,0,0.83245,82.0394721031189
50000,75000,0.1,0,0.8315,72.50184774398804
